id,sex,gender,age,weight,wght18,height,phys,aspirin,vitc,vite,multivit,calcium,blood,chol,health,smoke100,sm100age,cursmoke,wtchange,exhrs,exintens,degree,program,mstatus,mage,agepub,minschool,travel,techhrs,wkdaysleep,wkendsleep,bmicat
351,2,2,24,128,110,61,1,1,1,1,1,1,1,1,3,No,,3,2,2,2,3,2,2,,22,30,3,3,7,10,1
319,2,2,26,148,142,67,1,2,1,1,1,1,1,1,1,No,,3,1,4,3,3,2,2,,23,10,4,4,9,8,1
104,2,2,27,130,110,62,3,1,1,1,1,1,1,1,3,No,,3,1,2,3,3,1,2,,23,20,1,5,7,8,1
143,2,2,21,115,110,63,2,1,1,1,1,1,1,1,5,No,,3,2,3,3,3,2,2,,18,15,3,6,8,8,1
23,2,2,32,140,128,65,2,1,1,1,1,1,1,1,5,Yes,17,3,2,2,3,3,3,1,30,23,30,3,8,7,9,1
120,2,2,26,120,110,66,1,1,1,1,2,1,1,1,5,No,,3,1,3,3,3,1,2,,22,15,1,10,9,11,1
241,2,2,30,125,125,65,1,1,1,1,1,1,1,1,1,Yes,24,2,1,3,3,3,1,2,,21,25,3,12,8,9,1
303,2,5,38,170,135,61,1,1,1,1,1,1,1,1,5,Yes,18,3,1,4,3,3,7,1,25,37,15,2,6,9,9,3
118,2,2,23,200,160,70,3,1,1,1,1,1,1,1,4,No,,3,2,3,3,3,7,2,,16,20,3,12,8,8,2
337,2,2,31,160,0,65,1,1,1,1,1,1,1,1,3,No,,3,2,2,3,3,1,2,,23,20,3,8,6,9,2
264,2,2,22,141,132,68,1,1,1,1,1,1,1,1,3,No,,3,2,2,2,3,2,2,,21,5,1,10,9,10,1
34,2,2,33,132,150,67,1,1,1,1,1,1,1,1,3,No,,3,2,3,3,3,3,2,,23,15,1,6,7,8,1
336,1,1,43,180,145,69,1,1,1,1,1,1,1,1,5,No,,3,2,2,2,3,3,1,27,32,20,3,3,6,7,2
82,2,2,22,132,136,67,3,1,1,1,1,1,1,1,1,No,,3,2,2,2,3,2,2,,21,3,1,35,8,8,1
346,2,2,28,134,129,67,1,2,1,1,1,1,1,1,1,Yes,20,3,1,3,3,3,3,2,,27,16,1,7,7,9,1
242,2,2,29,148,160,66,2,1,1,1,1,1,1,1,1,No,,3,1,4,3,3,1,2,,21,25,3,12,7,9,1
80,1,1,27,132,116,67,1,1,1,1,1,1,1,1,5,No,,3,1,2,2,3,1,2,,24,20,1,10,6,7,1
362,2,2,21,132,154,64,1,1,2,2,2,2,1,1,4,No,,3,2,2,4,3,2,2,,14,30,3,10,7,7,1
107,2,2,26,132,110,68,1,1,1,1,1,1,1,1,1,No,,3,2,3,3,3,1,2,,24,20,4,6,8,10,1
53,2,2,36,108,105,63,1,1,1,1,1,1,1,1,5,No,,3,1,3,3,3,1,1,21,32,25,2,3,7,7,1
291,2,2,38,107,100,64,1,1,1,1,1,1,1,1,1,Yes,19,3,1,4,4,3,1,1,38,32,35,3,10,7,8,1
130,2,2,32,145,145,70,1,2,1,1,2,1,1,1,1,No,,3,1,3,4,3,1,1,25,30,20,3,5,4,5,1
170,2,2,25,130,110,68,2,1,1,1,1,1,1,1,3,No,,3,1,3,4,3,2,2,,19,3,1,8,7,7,1
105,1,1,22,175,150,72,1,1,1,1,1,1,1,1,5,No,,2,1,4,3,3,2,2,,20,30,3,10,7,8,1
259,2,2,33,230,180,68,1,1,1,1,1,1,1,1,3,No,,3,2,3,3,3,1,2,,28,25,1,8,6,6,3
249,2,2,28,152,135,65,1,1,1,1,1,1,1,1,3,No,,3,2,3,3,3,1,2,,23,20,3,10,7,8,2
