date,death,pm10,tempf,season
1987-01-01,24,,33.5,Winter
1987-01-02,24,-13.127517,37,Winter
1987-01-03,20,,36,Winter
1987-01-04,26,-28.127518,32,Winter
1987-01-05,23,,33.5,Winter
1987-01-06,23,,32.5,Winter
1987-01-07,21,,42.5,Winter
1987-01-08,28,14.872483,36,Winter
1987-01-09,20,,38,Winter
1987-01-10,26,-8.304348,37.5,Winter
1987-01-11,25,,37.5,Winter
1987-01-12,17,-12.127517,37,Winter
1987-01-13,22,,40,Winter
1987-01-14,22,-14.127517,42.5,Winter
1987-01-15,20,,54,Winter
1987-01-16,20,-4.5,45,Winter
1987-01-17,23,,31,Winter
1987-01-18,25,-20.127518,33,Winter
1987-01-19,12,,35.5,Winter
1987-01-20,23,-16.127518,37,Winter
1987-01-21,23,,36,Winter
1987-01-22,31,-8.902174,29,Winter
1987-01-23,17,,21.5,Winter
1987-01-24,26,,14,Winter
1987-01-25,20,,10.5,Winter
1987-01-26,24,,21.5,Winter
1987-01-27,26,,15.5,Winter
1987-01-28,23,,15,Winter
1987-01-29,26,,28.5,Winter
1987-01-30,29,8.8724833,33,Winter
1987-01-31,18,,35.5,Winter
1987-02-01,24,-31.127518,30,Winter
1987-02-02,25,,42.5,Winter
1987-02-03,17,19.872482,42,Winter
1987-02-04,19,,38.5,Winter
1987-02-05,28,-22.127518,33,Winter
1987-02-06,24,,37,Winter
1987-02-07,15,94.872482,38.5,Winter
1987-02-08,26,,38.5,Winter
1987-02-09,29,-3.5,30,Winter
1987-02-10,18,,32.5,Winter
1987-02-11,17,,35,Winter
1987-02-12,21,,33,Winter
1987-02-13,31,19.872482,37.5,Winter
1987-02-14,13,,29,Winter
1987-02-15,17,-7.1275167,23.5,Winter
1987-02-16,22,,21.5,Winter
1987-02-17,24,-14.127517,34,Winter
1987-02-18,23,,36,Winter
1987-02-19,21,,34,Winter
1987-02-20,16,,33,Winter
1987-02-21,26,-10.902174,38,Winter
1987-02-22,11,,34.5,Winter
1987-02-23,22,13.872483,38.5,Winter
1987-02-24,21,,38,Winter
1987-02-25,13,,36.5,Winter
1987-02-26,27,,34,Winter
1987-02-27,18,-9.5,34,Winter
1987-02-28,21,,35,Winter
1987-03-01,19,-13.127517,56,Winter
1987-03-02,32,,46.5,Winter
1987-03-03,31,-20.127518,44.5,Winter
1987-03-04,22,,32.5,Winter
1987-03-05,12,-25.127518,34,Winter
1987-03-06,27,,40,Winter
1987-03-07,19,29.872482,55,Winter
1987-03-08,27,,58.5,Winter
1987-03-09,18,27.872482,49,Winter
1987-03-10,18,,29,Winter
1987-03-11,10,-13.127517,28,Winter
1987-03-12,25,,38.5,Winter
1987-03-13,27,-9.1275167,38.5,Winter
1987-03-14,32,,38.5,Winter
1987-03-15,19,-9.1275167,38,Winter
1987-03-16,19,,41.5,Winter
1987-03-17,19,9.8724833,41,Winter
1987-03-18,9,,45.5,Winter
1987-03-19,16,5.8724833,46.5,Winter
1987-03-20,20,,46,Winter
1987-03-21,19,-35.127518,46.5,Winter
1987-03-22,23,,52,Winter
1987-03-23,34,-31.902174,51.5,Winter
1987-03-24,19,,53.5,Winter
1987-03-25,17,,51,Winter
1987-03-26,23,,55.5,Winter
1987-03-27,21,-29.127518,58.5,Winter
1987-03-28,23,,61,Winter
1987-03-29,16,-1.9021739,58,Winter
1987-03-30,27,,55.5,Winter
1987-03-31,25,-8.1275167,47.5,Winter
1987-04-01,22,,37,Spring
1987-04-02,27,,49.5,Spring
1987-04-03,15,,44,Spring
1987-04-04,26,-3.5,49.5,Spring
1987-04-05,19,,37.5,Spring
1987-04-06,21,-24.127518,39.5,Spring
1987-04-07,21,,48,Spring
1987-04-08,17,,54,Spring
1987-04-09,16,,52.5,Spring
1987-04-10,19,-18.127518,55.5,Spring
1987-04-11,24,,59,Spring
1987-04-12,24,32.872482,54.5,Spring
1987-04-13,18,,55,Spring
1987-04-14,18,-6.1275167,51.5,Spring
1987-04-15,11,,52.5,Spring
1987-04-16,21,-3.5,48.5,Spring
1987-04-17,11,,54.5,Spring
1987-04-18,15,-18.127518,60,Spring
1987-04-19,17,,64,Spring
1987-04-20,20,2.8724833,65.5,Spring
1987-04-21,21,,70,Spring
1987-04-22,17,.87248319,66,Spring
1987-04-23,14,,52.5,Spring
1987-04-24,20,,57,Spring
1987-04-25,21,,49,Spring
1987-04-26,22,-27.127518,51,Spring
1987-04-27,13,,49,Spring
1987-04-28,23,-8.1275167,51.5,Spring
1987-04-29,16,,56,Spring
1987-04-30,18,-1.1275167,58,Spring
1987-05-01,22,,56.5,Spring
1987-05-02,20,11.872483,57.5,Spring
1987-05-03,34,,62.5,Spring
1987-05-04,22,1.5,48.5,Spring
1987-05-05,26,,51.5,Spring
1987-05-06,28,-8.1275167,58.5,Spring
1987-05-07,18,,64,Spring
1987-05-08,19,12.872483,60.5,Spring
1987-05-09,18,,61.5,Spring
1987-05-10,17,-8.5,69.5,Spring
1987-05-11,23,,73,Spring
1987-05-12,22,42.872482,77,Spring
1987-05-13,22,,61,Spring
1987-05-14,18,-15.127517,58.5,Spring
1987-05-15,19,,68.5,Spring
1987-05-16,19,-2.3043478,60.5,Spring
1987-05-17,26,,68,Spring
1987-05-18,14,-2.1275167,75.5,Spring
1987-05-19,26,,59,Spring
1987-05-20,29,-20.127518,51.5,Spring
1987-05-21,14,,64,Spring
1987-05-22,17,-16.304348,68.5,Spring
1987-05-23,23,,74,Spring
1987-05-24,22,-16.127518,70.5,Spring
1987-05-25,23,,61.5,Spring
1987-05-26,20,-22.127518,61,Spring
1987-05-27,16,,63.5,Spring
1987-05-28,16,-16.127518,71.5,Spring
1987-05-29,24,,79,Spring
1987-05-30,20,34.872482,81,Spring
1987-05-31,26,,78.5,Spring
1987-06-01,26,21.872482,80.5,Spring
1987-06-02,14,,77.5,Spring
1987-06-03,20,13.5,72.5,Spring
1987-06-04,18,,68.5,Spring
1987-06-05,17,-1.1275167,69.5,Spring
1987-06-06,22,,68.5,Spring
1987-06-07,18,9.8724833,72,Spring
1987-06-08,17,,78.5,Spring
1987-06-09,16,18.5,73.5,Spring
1987-06-10,27,,64.5,Spring
1987-06-11,16,,65,Spring
1987-06-12,21,,71.5,Spring
1987-06-13,24,-1.1275167,76.5,Spring
